session,run,stimActFirst,block,stimActBlock,trialNumber,stimOnset,yellowOnLeftSide,leftCanBePushed                ,winAmtLeft,winAmtRight,winAmtYellow,winAmtBlue,winAmtPushable,winAmtPullable,RT,actUsrResp                ,invalResp,yellowChosen,leftChosen,pushed,endOfMoveTime,decFBjitOnset                ,FBOnset,yellowCorrect,pushCorrect,correctChoice,wonAmount                ,totalAmount,ITIOnset
1,1,Act,Act,1,2,0.038,1,1,36,64,36,64,36,64,2.661,r,0,0,0,0,3.788,3.788,9.911,0,0,1,64,64,11.114
1,1,Act,Act,1,3,14.719,1,0,6,94,6,94,94,6,1.24,r,1,nan,0,nan,nan,15.96,22.962,0,1,0,0,64,24.164
1,1,Act,Act,1,4,29.248,0,0,92,8,8,92,8,92,1.6,r,1,nan,0,nan,nan,30.848,32.879,0,0,0,0,64,34.081
1,1,Act,Act,1,5,38.951,0,1,85,15,15,85,85,15,1.471,l,0,0,1,1,41.504,41.504,42.505,1,0,0,0,64,43.713
1,1,Act,Act,1,6,50.653,0,0,71,29,29,71,29,71,2.149,l,0,0,1,0,53.816,53.817,57.747,0,0,1,71,135,58.954
1,1,Act,Act,1,7,62.242,1,1,85,15,85,15,85,15,1.732,l,0,1,1,1,64.994,64.995,68.632,0,0,0,0,135,69.84
1,1,Act,Act,1,8,73.704,1,0,68,32,68,32,32,68,1.196,r,1,nan,0,nan,nan,74.901,79.857,0,1,0,0,135,81.061
1,1,Act,Act,1,9,85.539,1,1,80,20,80,20,80,20,1.38,l,0,1,1,1,87.945,87.945,89.825,0,0,0,0,135,91.031
1,1,Act,Act,1,10,97.093,0,0,78,22,22,78,22,78,1.38,r,1,nan,0,nan,nan,98.473,104.159,1,1,0,0,135,105.36
1,1,Act,Act,1,11,109.699,0,1,44,56,56,44,44,56,2.214,r,0,1,0,0,112.936,112.937,115.26,1,0,1,56,191,116.465
1,1,Act,Act,1,12,121.811,1,1,90,10,90,10,90,10,1.48,l,0,1,1,1,124.325,124.326,125.919,1,1,1,90,281,127.127
1,1,Act,Act,1,13,130.222,0,1,18,82,82,18,18,82,2.432,r,0,1,0,0,133.685,133.685,138.937,0,1,0,0,281,140.144
1,1,Act,Act,1,14,147.03,1,0,78,22,78,22,22,78,2.838,l,1,nan,0,nan,nan,149.868,151.313,1,0,0,0,281,152.52
1,1,Act,Act,1,15,155.334,1,1,41,59,41,59,41,59,1.487,r,0,0,0,0,157.847,157.848,161.63,0,0,1,59,340,162.838
1,1,Act,Act,1,16,170.28,1,0,87,13,87,13,13,87,2.389,l,0,1,1,0,173.698,173.698,179.094,0,1,0,0,340,180.299
1,1,Act,Act,1,17,186.889,1,1,39,61,39,61,39,61,2.235,r,0,0,0,0,190.156,190.156,196.133,1,1,0,0,340,197.338
1,1,Act,Act,1,18,202.009,1,0,27,73,27,73,73,27,1.12,l,0,1,1,0,204.161,204.162,208.383,1,0,1,27,367,209.586
1,1,Act,Act,1,19,216.741,1,0,75,25,75,25,25,75,1.186,l,0,1,1,0,218.964,218.964,222.309,0,1,0,0,367,223.518
1,1,Act,Act,1,20,229.176,1,0,54,46,54,46,46,54,1.597,l,0,1,1,0,231.807,231.808,233.985,1,0,1,54,421,235.186
1,1,Act,Act,1,21,237.118,0,0,82,18,18,82,18,82,1.309,l,0,0,1,0,239.468,239.468,246.328,1,1,0,0,421,247.532
1,1,Act,Act,1,22,251.758,1,0,94,6,94,6,6,94,1.133,l,0,1,1,0,253.931,253.931,256.695,1,0,1,94,515,257.9
1,1,Act,Act,1,23,263.848,1,1,44,56,44,56,44,56,nan,nan,nan,nan,nan,nan,nan,266.85,271.663,1,1,nan,0,515,272.867
1,1,Act,Act,1,24,276.93,1,1,1,99,1,99,1,99,1.211,r,0,0,0,0,279.17,279.17,280.906,0,0,1,99,614,282.115
1,1,Act,Act,1,25,283.89,0,1,27,73,73,27,27,73,1.455,r,0,1,0,0,286.391,286.391,291.493,0,1,0,0,614,292.694
1,1,Act,Act,1,26,298.995,0,0,75,25,25,75,25,75,1.893,l,0,0,1,0,301.94,301.94,306.599,1,1,0,0,614,307.799
