session	run	stimActFirst	block	stimActBlock	trialNumber	stimOnset	yellowOnLeftSide	leftCanBePushed                	winAmtLeft	winAmtRight	winAmtYellow	winAmtBlue	winAmtPushable	winAmtPullable	RT	actUsrResp                	invalResp	yellowChosen	leftChosen	pushed	endOfMoveTime	decFBjitOnset                	FBOnset	yellowCorrect	pushCorrect	correctChoice	wonAmount                	totalAmount	ITIOnset
01	2	Act	Stim	1	2	0.039	0	1	7	93	93	7	7	93	1.521	r	0	1	0	0	2.795	2.795	4.093	0	1	0	0	0	5.310
01	2	Act	Stim	1	3	10.248	1	1	67	33	67	33	67	33	2.296	r	0	0	0	0	13.673	13.673	16.578	1	1	0	0	0	17.794
01	2	Act	Stim	1	4	20.868	0	0	5	95	95	5	95	5	1.676	r	0	1	0	1	23.817	23.817	29.662	0	0	0	0	0	30.862
01	2	Act	Stim	1	5	32.515	1	0	9	91	9	91	91	9	2.281	l	0	1	1	0	35.867	35.867	42.429	0	1	0	0	0	43.646
01	2	Act	Stim	1	6	50.599	0	1	98	2	2	98	98	2	1.514	l	0	0	1	1	53.273	53.273	60.131	0	1	1	98	98	61.348
01	2	Act	Stim	1	7	68.611	0	0	26	74	74	26	74	26	1.186	l	0	0	1	0	70.957	70.957	74.315	0	0	1	26	124	75.532
01	2	Act	Stim	1	8	82.600	1	0	72	28	72	28	28	72	1.065	r	0	0	0	1	84.832	84.833	88.333	0	1	1	28	152	89.550
01	2	Act	Stim	1	9	92.046	1	0	98	2	98	2	2	98	1.253	r	0	0	0	1	94.394	94.394	99.650	0	1	1	2	154	100.850
01	2	Act	Stim	1	10	107.044	1	0	79	21	79	21	21	79	1.106	r	0	0	0	1	109.328	109.328	110.334	1	0	0	0	154	111.551
01	2	Act	Stim	1	11	112.843	1	1	47	53	47	53	47	53	1.042	r	0	0	0	0	115.043	115.044	117.068	1	1	0	0	154	118.285
01	2	Act	Stim	1	12	120.625	0	1	60	40	40	60	60	40	1.293	l	0	0	1	1	123.099	123.099	128.052	0	1	1	60	214	129.269
01	2	Act	Stim	1	13	135.625	1	1	53	47	53	47	53	47	1.027	r	0	0	0	0	137.834	137.834	141.920	1	1	0	0	214	143.136
01	2	Act	Stim	1	14	144.610	0	1	81	19	19	81	81	19	1.376	l	0	0	1	1	147.169	147.169	152.854	1	0	0	0	214	154.071
01	2	Act	Stim	1	15	159.705	1	0	5	95	5	95	95	5	1.216	r	0	0	0	1	162.108	162.108	164.572	0	1	1	95	309	165.788
01	2	Act	Stim	1	16	170.957	0	1	65	35	35	65	65	35	2.598	r	0	1	0	0	174.735	174.736	179.406	1	0	1	35	344	180.622
01	2	Act	Stim	1	17	185.228	1	1	31	69	31	69	31	69	1.161	r	0	0	0	0	187.578	187.578	191.957	1	1	0	0	344	193.174
01	2	Act	Stim	1	18	197.179	0	1	86	14	14	86	86	14	2.311	r	0	1	0	0	200.673	200.673	204.458	1	0	1	14	358	205.674
01	2	Act	Stim	1	19	207.625	0	0	9	91	91	9	91	9	2.633	l	0	0	1	0	211.358	211.359	215.875	1	1	0	0	358	217.092
01	2	Act	Stim	1	20	220.814	0	0	79	21	21	79	21	79	1.195	r	0	1	0	1	223.181	223.182	225.509	1	1	1	21	379	226.726
01	2	Act	Stim	1	21	232.766	1	0	28	72	28	72	72	28	1.160	l	0	1	1	0	235.096	235.097	238.744	0	1	0	0	379	239.960
01	2	Act	Stim	1	22	246.753	0	0	40	60	60	40	60	40	1.241	r	0	1	0	1	249.173	249.174	250.328	0	0	0	0	379	251.544
01	2	Act	Stim	1	23	253.724	0	1	49	51	51	49	49	51	1.070	r	0	1	0	0	255.969	255.969	262.978	1	0	1	51	430	264.195
01	2	Act	Stim	1	24	269.997	0	0	16	84	84	16	84	16	1.182	l	0	0	1	0	272.364	272.365	278.780	0	0	1	16	446	279.996
01	2	Act	Stim	1	25	282.847	0	1	77	23	23	77	77	23	1.683	l	0	0	1	1	285.750	285.750	288.364	1	0	0	0	446	289.564
01	2	Act	Stim	1	26	293.108	1	0	42	58	42	58	58	42	1.655	l	0	1	1	0	295.952	295.952	300.764	1	0	1	42	488	301.965
01	2	Act	Stim	1	27	308.669	0	1	51	49	49	51	51	49	2.063	l	0	0	1	1	311.931	311.931	314.116	1	0	0	0	488	315.316
01	2	Act	Stim	1	28	320.649	1	0	86	14	86	14	14	86	1.300	l	0	1	1	0	323.151	323.151	328.250	0	1	0	0	488	329.467
01	2	Act	Stim	1	29	332.132	1	1	45	55	45	55	45	55	1.451	l	0	1	1	1	334.779	334.779	336.517	1	1	1	45	533	337.734
