session,run,stimActFirst,block,stimActBlock,trialNumber,stimOnset,yellowOnLeftSide,leftCanBePushed                ,winAmtLeft,winAmtRight,winAmtYellow,winAmtBlue,winAmtPushable,winAmtPullable,RT,actUsrResp                ,invalResp,yellowChosen,leftChosen,pushed,endOfMoveTime,decFBjitOnset                ,FBOnset,yellowCorrect,pushCorrect,correctChoice,wonAmount                ,totalAmount,ITIOnset
1,1,Act,Act,1,2,0.041,0,1,64,36,36,64,64,36,nan,nan,nan,nan,nan,nan,nan,3.05,9.184,1,0,nan,0,0,10.4
1,1,Act,Act,1,3,13.872,1,1,6,94,6,94,6,94,2.296,r,0,0,0,0,17.277,17.277,24.285,1,1,0,0,0,25.485
1,1,Act,Act,1,4,30.463,1,1,8,92,8,92,8,92,1.823,l,0,1,1,1,33.323,33.323,35.352,0,0,0,0,0,36.569
1,1,Act,Act,1,5,41.379,1,0,15,85,15,85,85,15,1.707,r,0,0,0,1,44.205,44.205,45.22,1,0,0,0,0,46.436
1,1,Act,Act,1,6,53.265,0,1,71,29,29,71,71,29,nan,nan,nan,nan,nan,nan,nan,56.271,60.204,1,0,nan,0,0,61.421
1,1,Act,Act,1,7,64.625,0,1,15,85,85,15,15,85,1.562,r,0,1,0,0,67.232,67.232,70.871,1,0,1,85,85,72.072
1,1,Act,Act,1,8,75.868,1,0,68,32,68,32,32,68,1.271,l,0,1,1,0,78.188,78.188,83.156,0,1,0,0,85,84.356
1,1,Act,Act,1,9,88.745,1,0,80,20,80,20,20,80,1.494,l,0,1,1,0,91.291,91.291,93.173,1,0,1,80,165,94.39
1,1,Act,Act,1,10,100.373,0,0,78,22,22,78,22,78,1.884,l,0,0,1,0,103.313,103.313,109.007,1,1,0,0,165,110.208
1,1,Act,Act,1,11,114.458,1,0,56,44,56,44,44,56,1.9,l,0,1,1,0,117.413,117.414,119.742,1,0,1,56,221,120.942
1,1,Act,Act,1,12,126.214,0,1,10,90,90,10,10,90,1.828,r,0,1,0,0,129.098,129.098,130.692,0,1,0,0,221,131.909
1,1,Act,Act,1,13,134.956,1,0,82,18,82,18,18,82,1.82,l,0,1,1,0,137.831,137.831,143.077,0,1,0,0,221,144.293
1,1,Act,Act,1,14,151.052,0,1,22,78,78,22,22,78,1.991,r,0,1,0,0,154.102,154.103,155.544,1,0,1,78,299,156.761
1,1,Act,Act,1,15,159.508,1,0,41,59,41,59,59,41,nan,nan,nan,nan,nan,nan,nan,162.512,166.295,1,0,nan,0,299,167.512
1,1,Act,Act,1,16,174.867,0,0,13,87,87,13,87,13,1.662,r,0,1,0,1,177.59,177.591,182.996,1,1,1,87,386,184.213
1,1,Act,Act,1,17,190.691,1,0,39,61,39,61,61,39,2.572,r,0,0,0,1,194.336,194.336,200.314,0,1,1,61,447,201.531
1,1,Act,Act,1,18,206.097,0,0,73,27,27,73,27,73,2.6,l,0,0,1,0,209.762,209.763,213.998,0,0,1,73,520,215.215
