session,run,stimActFirst,block,stimActBlock,trialNumber,stimOnset,yellowOnLeftSide,leftCanBePushed                ,winAmtLeft,winAmtRight,winAmtYellow,winAmtBlue,winAmtPushable,winAmtPullable,RT,actUsrResp                ,invalResp,yellowChosen,leftChosen,pushed,endOfMoveTime,decFBjitOnset                ,FBOnset,yellowCorrect,pushCorrect,correctChoice,wonAmount                ,totalAmount,ITIOnset
1,1,Stim,Stim,1,2,0.037,1,1,82,18,82,18,82,18,nan,nan,nan,nan,nan,nan,nan,3.041,7.263,0,0,nan,0,0,8.464
1,1,Stim,Stim,1,3,10.453,0,1,78,22,22,78,78,22,1.449,l,0,0,1,1,13.127,13.127,17.645,0,1,1,78,78,18.846
1,1,Stim,Stim,1,4,21.531,0,1,27,73,73,27,27,73,2.283,r,0,1,0,0,25.032,25.033,28.375,1,0,1,73,151,29.576
1,1,Stim,Stim,1,5,31.084,0,1,71,29,29,71,71,29,2.032,l,0,0,1,1,34.301,34.301,37.935,0,1,1,71,222,39.139
1,1,Stim,Stim,1,6,44.958,1,1,99,1,99,1,99,1,1.923,r,0,0,0,0,47.941,47.941,50.551,0,0,1,1,223,51.754
1,1,Stim,Stim,1,7,55.199,1,0,39,61,39,61,61,39,1.382,l,1,nan,0,nan,nan,56.582,59.051,0,1,0,0,223,60.252
1,1,Stim,Stim,1,8,64.839,0,0,73,27,27,73,27,73,0.939,l,1,nan,0,nan,nan,65.778,67.514,1,1,0,0,223,68.72
1,1,Stim,Stim,1,9,74.031,1,1,3,97,3,97,3,97,2.295,r,0,0,0,0,77.481,77.482,81.414,0,0,1,97,320,82.624
1,1,Stim,Stim,1,10,88.76,1,1,92,8,92,8,92,8,1.386,l,0,1,1,1,91.256,91.257,97.971,0,0,0,0,320,99.177
1,1,Stim,Stim,1,11,104.314,1,1,61,39,61,39,61,39,0.858,r,0,0,0,0,106.327,106.327,109.238,0,0,1,39,359,110.447
1,1,Stim,Stim,1,12,117,1,1,54,46,54,46,54,46,1.998,r,0,0,0,0,120.158,120.158,124.969,0,0,1,46,405,126.173
1,1,Stim,Stim,1,13,130.101,1,1,85,15,85,15,85,15,1.428,l,0,1,1,1,132.686,132.686,135.445,0,0,0,0,405,136.645
1,1,Stim,Stim,1,14,143.5,0,0,25,75,75,25,75,25,2.454,l,1,nan,0,nan,nan,145.955,150.622,1,1,0,0,405,151.832
1,1,Stim,Stim,1,15,154.259,1,1,32,68,32,68,32,68,1.19,l,1,nan,0,nan,nan,155.45,161.869,1,1,0,0,405,163.072
1,1,Stim,Stim,1,16,165.074,1,1,44,56,44,56,44,56,1.427,l,0,1,1,1,167.657,167.657,173.639,1,1,1,44,449,174.841
1,1,Stim,Stim,1,17,179.823,0,0,6,94,94,6,94,6,2.114,r,0,1,0,1,183.101,183.101,184.687,0,0,0,0,449,185.893
1,1,Stim,Stim,1,18,191.102,0,0,80,20,20,80,20,80,1.373,l,0,0,1,0,193.63,193.631,194.924,0,0,1,80,529,196.133
1,1,Stim,Stim,1,19,202.387,0,0,99,1,1,99,1,99,1.699,l,0,0,1,0,205.245,205.245,211.813,0,0,1,99,628,213.02
1,1,Stim,Stim,1,20,220.095,0,1,34,66,66,34,34,66,1.447,l,0,0,1,1,222.698,222.699,223.699,0,1,1,34,662,224.906
1,1,Stim,Stim,1,21,230.549,0,0,41,59,59,41,59,41,1.219,l,0,0,1,0,232.941,232.941,236.432,1,1,0,0,662,237.641
1,1,Stim,Stim,1,22,241.236,1,1,64,36,64,36,64,36,1.81,r,0,0,0,0,244.213,244.214,249.612,0,0,1,36,698,250.816
1,1,Stim,Stim,1,23,252.532,0,0,29,71,71,29,71,29,1.212,l,0,0,1,0,254.915,254.915,258.704,1,1,0,0,698,259.907
1,1,Stim,Stim,1,24,267.106,1,1,41,59,41,59,41,59,1.27,r,0,0,0,0,269.542,269.542,272.596,1,1,0,0,698,273.805
1,1,Stim,Stim,1,25,278.599,1,1,10,90,10,90,10,90,1.207,l,0,1,1,1,280.996,280.996,283.169,1,1,1,10,708,284.379
