session	run	stimActFirst	block	stimActBlock	trialNumber	stimOnset	yellowOnLeftSide	leftCanBePushed                	winAmtLeft	winAmtRight	winAmtYellow	winAmtBlue	winAmtPushable	winAmtPullable	RT	actUsrResp                	invalResp	yellowChosen	leftChosen	pushed	endOfMoveTime	decFBjitOnset                	FBOnset	yellowCorrect	pushCorrect	correctChoice	wonAmount                	totalAmount	ITIOnset
01	2	Stim	Act	1	2	0.037	0	0	23	77	77	23	77	23	2.772	r	0	1	0	1	3.919	3.919	7.261	1	1	1	77	77	8.469
01	2	Stim	Act	1	3	11.927	0	0	81	19	19	81	19	81	1.438	r	0	1	0	1	14.404	14.404	20.236	1	1	1	19	96	21.440
01	2	Stim	Act	1	4	26.497	1	1	31	69	31	69	31	69	1.487	l	0	1	1	1	29.070	29.070	31.536	1	1	1	31	127	32.743
01	2	Stim	Act	1	5	36.664	0	0	47	53	53	47	53	47	1.487	r	0	1	0	1	39.199	39.200	42.986	1	1	1	53	180	44.191
01	2	Stim	Act	1	6	46.849	1	0	16	84	16	84	84	16	1.730	r	0	0	0	1	49.633	49.633	54.295	1	0	0	0	180	55.497
01	2	Stim	Act	1	7	58.457	1	0	5	95	5	95	95	5	2.136	r	0	0	0	1	61.640	61.640	67.328	0	1	1	95	275	68.528
01	2	Stim	Act	1	8	73.004	0	0	55	45	45	55	45	55	1.699	r	0	1	0	1	75.754	75.754	77.928	1	1	1	45	320	79.130
01	2	Stim	Act	1	9	86.527	1	1	21	79	21	79	21	79	1.374	l	0	1	1	1	88.958	88.958	90.545	0	0	0	0	320	91.748
01	2	Stim	Act	1	10	95.865	1	0	79	21	79	21	21	79	1.500	l	0	1	1	0	98.481	98.482	103.728	0	1	0	0	320	104.935
01	2	Stim	Act	1	11	106.732	1	0	9	91	9	91	91	9	1.615	r	0	0	0	1	109.403	109.403	113.478	1	0	0	0	320	114.682
01	2	Stim	Act	1	12	119.891	1	1	84	16	84	16	84	16	2.604	r	0	0	0	0	123.555	123.555	125.586	1	1	0	0	320	126.791
01	2	Stim	Act	1	13	132.117	1	1	60	40	60	40	60	40	1.511	l	0	1	1	1	134.687	134.687	136.423	0	0	0	0	320	137.631
01	2	Stim	Act	1	14	141.457	0	0	7	93	93	7	93	7	1.736	r	0	1	0	1	144.258	144.258	150.822	0	0	0	0	320	152.028
01	2	Stim	Act	1	15	158.308	0	1	5	95	95	5	5	95	1.045	r	0	1	0	0	160.414	160.415	164.345	0	1	0	0	320	165.554
01	2	Stim	Act	1	16	172.082	1	1	58	42	58	42	58	42	2.149	r	0	0	0	0	175.293	175.293	177.178	0	0	1	42	362	178.386
01	2	Stim	Act	1	17	181.779	0	1	93	7	7	93	93	7	1.600	r	0	1	0	0	184.371	184.372	187.428	0	1	0	0	362	188.635
01	2	Stim	Act	1	18	195.315	0	1	53	47	47	53	53	47	2.345	r	0	1	0	0	198.729	198.729	203.828	1	0	1	47	409	205.030
01	2	Stim	Act	1	19	211.158	1	0	35	65	35	65	65	35	1.478	l	0	1	1	0	213.706	213.706	220.706	1	0	1	35	444	221.912
01	2	Stim	Act	1	20	225.082	1	0	49	51	49	51	51	49	1.501	l	0	1	1	0	227.656	227.657	230.560	1	0	1	49	493	231.764
01	2	Stim	Act	1	21	234.272	1	1	2	98	2	98	2	98	1.534	r	0	0	0	0	236.873	236.873	239.196	1	1	0	0	493	240.400
01	2	Stim	Act	1	22	246.335	1	0	67	33	67	33	33	67	2.803	l	0	1	1	0	250.212	250.212	251.220	1	0	1	67	560	252.420
01	2	Stim	Act	1	23	257.151	1	0	62	38	62	38	38	62	1.580	l	0	1	1	0	259.807	259.807	264.762	1	0	1	62	622	265.965
01	2	Stim	Act	1	24	269.699	0	0	45	55	55	45	55	45	1.338	r	0	1	0	1	272.115	272.116	278.386	1	1	1	55	677	279.594
01	2	Stim	Act	1	25	282.018	0	1	67	33	33	67	67	33	2.668	r	0	1	0	0	285.757	285.757	290.275	1	0	1	33	710	291.479
